,count,mean,std,min,25%,50%,75%,max
2632,57268.0,28.04726743313433,8.919080028690338,-0.9798000000000002,21.903202499999995,27.664385000000003,33.3046175,60.794519999999984
2634,57268.0,28.040108094626877,8.933907306508582,-0.9933700000000004,21.878032500000003,27.648524999999992,33.297892499999996,60.83547
2636,57268.0,28.03512497373135,8.949489145990741,-1.0051100000000006,21.85060750000001,27.629139999999996,33.3008275,60.87620999999999
2638,57268.0,28.034281254179113,8.965174595441084,-1.0127400000000002,21.829692500000007,27.619264999999995,33.31445500000002,60.91734
2640,57268.0,28.039500831194033,8.980907023881871,-1.0156899999999998,21.818032500000005,27.615680000000005,33.328345000000006,60.96084000000002
2642,57268.0,28.04999640641792,8.996309411167738,-1.0143800000000003,21.807522500000005,27.618145000000002,33.354000000000006,61.00537
2644,57268.0,28.064108277910446,9.011007674335955,-1.009130000000001,21.809485000000006,27.626215,33.3831125,61.04846000000002
2646,57268.0,28.08181174910447,9.025307739026923,-1.00169,21.81913,27.640334999999997,33.419515,61.093630000000005
2648,57268.0,28.10264630910448,9.039401628402787,-0.9917900000000004,21.829874999999998,27.655985,33.458692500000005,61.14762999999999
2650,57268.0,28.126228986716423,9.053394340309097,-0.9796900000000003,21.837752499999997,27.675105000000002,33.492207499999985,61.20324999999999
2652,57268.0,28.151827759999996,9.067188337999868,-0.9663299999999997,21.8403575,27.700220000000012,33.53507249999999,61.25994
2654,57268.0,28.17959461582089,9.081090979426321,-0.9521900000000001,21.848602500000002,27.724640000000008,33.57402750000001,61.31819000000002
2656,57268.0,28.208684814477603,9.09520126737338,-0.9401299999999998,21.86578249999999,27.755910000000004,33.61760500000001,61.37801000000001
2658,57268.0,28.25273734671641,9.117485232742467,-0.9469600000000005,21.884594999999997,27.80078499999999,33.68457249999999,61.468160000000005
2660,57268.0,28.281562597761194,9.130352221438665,-0.9489800000000004,21.896632499999996,27.830595000000006,33.72641000000001,61.52262
2662,57268.0,28.316096271343287,9.146109792715965,-0.9527099999999995,21.918790000000005,27.864240000000002,33.779385,61.58889000000001
2664,57268.0,28.350606259253734,9.161513131092246,-0.9572400000000001,21.933222499999996,27.900640000000013,33.83021000000001,61.653750000000024
